#: table_doi: 10.17182/hepdata.72886.v2/t7
#: name: Table 7
#: description: $p_{\rm T}$ dependence of $v_2$, $v_3$ and $v_4$ for centrality 0-5%.

#: data_file: Table7.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2 | V3 | V4
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 5023.0
#: RE,,,PB PB --> CHARGED X
#: ETARAP,,,-0.8-0.8
#: CENTRALITY [pct],,,0.0-5.0
#: SQRT(S)/NUCLEON [GeV],,,5023.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','V2{2, |DELTAETA|>1}','stat +','stat -','sys +','sys -'
0.30000000000000004,0.2,0.4,0.01535,0.00103,-0.00103,0.00057,-0.00057
0.5,0.4,0.6,0.02495,0.0012,-0.0012,0.00092,-0.00092
0.7,0.6,0.8,0.02827,0.0009,-0.0009,0.00105,-0.00105
0.9,0.8,1.0,0.0348,0.00076,-0.00076,0.00129,-0.00129
1.125,1.0,1.25,0.04059,0.00122,-0.00122,0.00101,-0.00101
1.375,1.25,1.5,0.0495,0.00197,-0.00197,0.00124,-0.00124
1.625,1.5,1.75,0.0573,0.00308,-0.00308,0.00143,-0.00143
1.875,1.75,2.0,0.05866,0.00288,-0.00288,0.00147,-0.00147
2.25,2.0,2.5,0.063,0.00275,-0.00275,0.00157,-0.00157
2.75,2.5,3.0,0.06669,0.00367,-0.00367,0.00167,-0.00167
3.25,3.0,3.5,0.08123,0.01027,-0.01027,0.00203,-0.00203
3.75,3.5,4.0,0.04895,0.01161,-0.01161,0.00122,-0.00122
4.5,4.0,5.0,0.07954,0.01156,-0.01156,0.00199,-0.00199

#: RE,,,PB PB --> CHARGED X
#: ETARAP,,,-0.8-0.8
#: CENTRALITY [pct],,,0.0-5.0
#: SQRT(S)/NUCLEON [GeV],,,5023.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','V3{2, |DELTAETA|>1}','stat +','stat -','sys +','sys -'
0.30000000000000004,0.2,0.4,0.0061,0.00154,-0.00154,0.00018,-0.00018
0.5,0.4,0.6,0.01352,0.00187,-0.00187,0.00039,-0.00039
0.7,0.6,0.8,0.01911,0.00127,-0.00127,0.00055,-0.00055
0.9,0.8,1.0,0.02739,0.00161,-0.00161,0.00079,-0.00079
1.125,1.0,1.25,0.03474,0.00207,-0.00207,0.00101,-0.00101
1.375,1.25,1.5,0.04286,0.00101,-0.00101,0.00124,-0.00124
1.625,1.5,1.75,0.05111,0.00241,-0.00241,0.00148,-0.00148
1.875,1.75,2.0,0.04764,0.00373,-0.00373,0.00138,-0.00138
2.25,2.0,2.5,0.06777,0.00517,-0.00517,0.00196,-0.00196
2.75,2.5,3.0,0.08301,0.00732,-0.00732,0.00241,-0.00241
3.25,3.0,3.5,0.11017,0.00461,-0.00461,0.00319,-0.00319
3.75,3.5,4.0,0.11018,0.00992,-0.00992,0.00319,-0.00319
4.5,4.0,5.0,0.0765,0.01734,-0.01734,0.00222,-0.00222

#: RE,,,PB PB --> CHARGED X
#: ETARAP,,,-0.8-0.8
#: CENTRALITY [pct],,,0.0-5.0
#: SQRT(S)/NUCLEON [GeV],,,5023.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','V4{2, |DELTAETA|>1}','stat +','stat -','sys +','sys -'
0.30000000000000004,0.2,0.4,0.00299,0.00125,-0.00125,5e-05,-5e-05
0.5,0.4,0.6,0.00792,0.00208,-0.00208,0.00014,-0.00014
0.7,0.6,0.8,0.00925,0.00257,-0.00257,0.00017,-0.00017
0.9,0.8,1.0,0.01073,0.00397,-0.00397,0.00019,-0.00019
1.125,1.0,1.25,0.01953,0.00382,-0.00382,0.00035,-0.00035
1.375,1.25,1.5,0.01279,0.00437,-0.00437,0.00023,-0.00023
1.625,1.5,1.75,0.03275,0.00492,-0.00492,0.00059,-0.00059
1.875,1.75,2.0,0.04243,0.008,-0.008,0.00076,-0.00076
2.25,2.0,2.5,0.05245,0.00769,-0.00769,0.00094,-0.00094
2.75,2.5,3.0,0.04883,0.01719,-0.01719,0.00088,-0.00088
3.25,3.0,3.5,0.04666,0.0201,-0.0201,0.00084,-0.00084
3.75,3.5,4.0,0.05527,0.01697,-0.01697,0.00099,-0.00099
4.5,4.0,5.0,0.08122,0.03633,-0.03633,0.00146,-0.00146

